
* Step -1
RZ           1   7529 
    1875   5.0338067600E+01   2.4290628101E+01   -1.7406573602E+01
    1876   4.6745700804E+01   2.7615252810E+01   -1.6102910337E+01
    1877   -9.9741574000E+00   8.0386659363E+01   -3.4600298897E+01
    1878   -1.1954269300E+01   7.6892035300E+01   -3.5302836400E+01
    1879   -3.8706657000E+00   7.0391866100E+01   -3.6841404400E+01
    1880   -8.7510463000E+00   6.8512141000E+01   -4.0037452400E+01
    1881   -5.3491445000E+00   7.5826541400E+01   -3.2278271600E+01
    1882   -1.1571222000E+01   7.2653726200E+01   -3.4932052300E+01
    1883   -1.6548985927E+01   7.5644744700E+01   -3.6310430302E+01
    1884   -1.5695753649E+01   8.0099393314E+01   -3.4663366162E+01
    1885   3.7941909825E+01   4.0897005792E+01   -1.7475658834E+01
    1886   3.1076032700E+01   5.8766202000E+01   -1.9212861600E+01
    1887   3.2053346700E+01   5.3355514300E+01   -2.1401511700E+01
    1888   2.7109727600E+01   6.2195741000E+01   -1.8524897200E+01
    1889   2.8765560712E+01   6.3028396000E+01   -2.3706772812E+01
    1890   2.6516496458E+01   6.4025091400E+01   -3.6061471096E+01
    1891   2.6228602232E+01   5.8731186480E+01   -3.8486789883E+01
    1892   2.1294317700E+01   6.1673199100E+01   -3.6205806100E+01
    1893   1.7271732700E+01   6.5526644488E+01   -3.4566147199E+01
    1894   2.0574608400E+01   6.5828595338E+01   -3.1114849603E+01
    1895   2.2738166500E+01   6.6860602787E+01   -1.9318922084E+01
    1896   4.0438358515E+01   2.4460830720E+01   -3.0206667101E+01
    1897   3.7326698829E+01   2.7741313521E+01   -2.9732519702E+01
    1898   3.5651696600E+01   2.3289386900E+01   -3.2521751500E+01
    1899   3.0166724500E+01   2.3710818400E+01   -3.7125060900E+01
    1900   3.3490612600E+01   2.7187728500E+01   -3.4642858700E+01
    1901   2.1877926106E+01   2.2495446309E+01   -4.2520938341E+01
    1902   2.5346137600E+01   1.9623150000E+01   -3.9504397000E+01
    1903   2.6254218900E+01   2.5967595700E+01   -4.1179459900E+01
    1904   2.8248884600E+01   3.0770607600E+01   -4.0920710200E+01
    1905   2.6076619194E+01   3.9574021200E+01   -4.4230066517E+01
    1906   2.8558606200E+01   3.5823415600E+01   -4.1129157900E+01
    1907   2.8310830900E+01   3.2723258300E+01   -3.5881752600E+01
    1908   3.1235527300E+01   3.0026100700E+01   -3.2928651800E+01
    1909   3.5296892108E+01   3.1521866803E+01   -2.9673856100E+01
    1910   3.4149339920E+01   3.7023432301E+01   -2.9593672601E+01
    1911   1.7838098103E+01   4.9710571399E+01   -4.5700485618E+01
    1912   2.5498532996E+01   4.3546807305E+01   -4.3491303323E+01
    1913   3.5245447100E+01   4.6361404300E+01   -4.1042281000E+00
    1914   3.1720054000E+01   5.0001824600E+01   -5.1013278000E+00
    1915   3.0682450200E+01   4.8219070100E+01   -7.0000000000E-01
    1916   2.9527847100E+01   5.5162730200E+01   -7.0000070000E-01
    1917   2.6263374400E+01   5.8757476500E+01   -7.0000130000E-01
    1918   2.2345729100E+01   6.3143686700E+01   -7.0000000000E-01
    1919   -2.1426553000E+00   5.8926337700E+01   -4.2492829600E+01
    1920   3.2656500000E+00   5.8038943600E+01   -4.2711582100E+01
    1921   2.0909418779E+00   6.1021761461E+01   -3.8119629530E+01
    1922   -3.6239099000E+00   5.6271144700E+01   -4.4073853200E+01
    1923   -5.8505441000E+00   5.6917025300E+01   -4.7765798400E+01
    1924   -6.0720339000E+00   5.7687763500E+01   -4.5404571000E+01
    1925   -7.1689716000E+00   5.9904292600E+01   -4.7141251500E+01
    1926   4.5299344500E+01   -9.9526730000E-01   -2.7992233800E+01
    1927   4.1373836000E+01   7.9635750000E-01   -2.8281634100E+01
    1928   4.2397646600E+01   3.4034944900E+01   5.0346333000E+00
    1929   4.4528063400E+01   2.6828406600E+01   9.6642134000E+00
    1930   4.1178744200E+01   2.9256480400E+01   9.7667637000E+00
    1931   3.8292466800E+01   3.2510635400E+01   9.1115174000E+00
    1932   5.2934008400E+01   1.4590525300E+01   -1.5707932500E+01
    1933   2.3819865500E+01   3.4434981999E+01   -4.3681101303E+01
    1934   -7.0255074994E-03   6.6492468000E+01   -3.8349505499E+01
    1935   -5.7357758082E+00   5.4473546685E+01   -5.2517996035E+01
    1936   4.4380853646E-01   4.7957697625E+01   -4.8134573097E+01
    1937   2.6517734004E+00   4.4832258500E+01   -5.1947347700E+01
    1938   -3.4025109034E+00   5.1639190295E+01   -4.4440067000E+01
    1939   1.0824258013E+01   4.8051340190E+01   -4.7966077807E+01
    1940   8.7271463958E+00   4.5913877602E+01   -5.1422401099E+01
    1941   4.5315520300E+01   1.9181775800E+01   9.1475295000E+00
    1942   4.0608455500E+01   3.5660046500E+01   -9.6761060000E-01
    1943   4.7068547900E+01   -2.7384510040E+00   -2.6009770900E+01
    1944   4.4687290900E+01   -2.7384510040E+00   -2.5964346900E+01
    1945   3.6908359600E+01   4.2027718900E+01   -3.9863698000E+00
    1946   4.6488607695E+01   2.1975758281E+01   -2.2101459697E+01
    1947   3.0597055838E-01   6.7946304000E+01   -3.4771944996E+01
    1948   6.4069426272E-01   6.8992119700E+01   -3.0946035397E+01
    1949   9.2532562134E-01   7.6108139000E+01   -2.7692684102E+01
    1950   -6.3082479423E-01   8.0795938737E+01   -2.8938716704E+01
    1951   -6.7986767000E+00   8.0886079624E+01   -2.8891890502E+01
    1952   1.7810870600E+01   6.4328167400E+01   -3.9137449000E+00
    1953   1.7702630900E+01   6.7928295716E+01   -7.1151571014E+00
    1954   4.3359306000E+01   -2.1544760000E-01   -2.5977163600E+01
    1955   4.1464475300E+01   -2.7384510040E+00   -2.6761444400E+01
    1956   2.8375222800E+01   1.6624056400E+01   -3.6846983200E+01
    1957   5.3055477400E+01   1.5672123700E+01   5.0685780000E-01
    1958   5.5321712800E+01   1.2355354500E+01   3.6331775000E+00
    1959   5.5543507900E+01   1.0774062100E+01   -5.3099330000E-01
    1960   3.6903447900E+01   1.4268546000E+00   -2.9213453800E+01
    1961   3.2833799800E+01   1.8102192000E+01   -3.3118676100E+01
    1962   1.4206383100E+01   6.8206086573E+01   -3.9399846976E+00
    1963   1.7283680400E+01   6.1481172100E+01   -7.0000000000E-01
    1964   1.0638726700E+01   6.8489547728E+01   -7.0000000247E-01
    1965   1.2031186200E+01   6.4984825800E+01   -3.7756433000E+00
    1966   1.0023622600E+01   6.2859051100E+01   -7.0000000000E-01
    1967   2.0678843338E+01   1.9946229296E+01   -3.7313309897E+01
    1968   2.4455325514E+01   1.2887880328E+01   -3.5440890297E+01
    1969   -1.5929166375E+01   6.7075466100E+01   -4.3394999298E+01
    1970   -1.3119464101E+01   6.4953897000E+01   -4.8043988613E+01
    1971   -6.2291305994E+00   5.7773063303E+01   -5.0909378300E+01
    1972   2.3774506321E+01   5.1861621588E+01   -4.3073543740E+01
    1973   2.9409305889E+01   5.3122969378E+01   -3.4941996195E+01
    1974   2.6951927803E+01   5.3738983002E+01   -3.8761509302E+01
    1975   2.4679723500E+01   6.6063184204E+01   -2.8433454900E+01
    1976   2.6969724224E+01   6.2440973100E+01   -3.0897246702E+01
    1977   3.4686886500E+01   4.4336321600E+01   -1.9261017600E+01
    1978   3.4914078474E+01   4.1337404308E+01   -2.3708379446E+01
    1979   2.1716204500E+01   6.6434513886E+01   -2.4189146020E+01
    1980   1.4611063501E+01   4.6778778794E+01   -4.5526353336E+01
    1981   2.1361756171E+01   4.6070729686E+01   -4.4720331624E+01
